id,nom_ressource,type_ressource,quantite,unite_mesure,Usage Frequency,Saison
235,Réservoir d'eau enterré,semences,707.64,Gramme,daily,winter
236,Graines de betterave sucrière,semences,618.35,Kilogramme,monthly,fall
237,Engrais phosphoré pour tubercules,engrais,871.89,Hectare,weekly,spring
238,,engrais,846.53,Mètre cube,weekly,summer
239,Remorque agricole,semences,311.11,Litre,weekly,summer
240,Graines de pois chiche,pesticide,253.68,Mètre cube,weekly,summer
241,Système d’irrigation en goutte à goutte,pesticide,836.45,Gramme,daily,fall
242,Pétrole pour tracteurs,pesticide,906.24,Millilitre,weekly,summer
243,Semences de millet,carburant,977.55,Acre,weekly,spring
244,Engrais foliaire liquide,engrais,218.4,Mètre cube,weekly,summer
245,Semences de framboise,semences,956.74,Millilitre,daily,summer
246,Graines de pastèque,engrais,742.4,Hectare,daily,summer
247,Graines de céleri,eau,982.07,Acre,weekly,summer
248,Semences de fenouil,semences,383.43,Mètre cube,daily,summer
249,Engrais organique à base de trèfle,engrais,837.55,Kilogramme,daily,summer
250,Semences d'amande,eau,882.02,Hectare,weekly,winter
251,Carburant biodiesel,semences,901.11,Hectare,daily,summer
252,Tracteur électrique,semences,372.8,Acre,weekly,summer
253,Système de filtrage d'eau,pesticide,779.51,Hectare,monthly,spring
254,Engrais organique à base de compost,carburant,493.7,Millilitre,monthly,fall
255,Engrais naturel à base de farine d’os,carburant,767.82,Mètre cube,daily,summer
256,Fongicide au soufre micronisé,engrais,264.38,Mètre cube,monthly,winter
257,Pulvérisateur électrique 15L,engrais,556.85,Kilogramme,weekly,spring
258,,pesticide,956.27,Millilitre,monthly,summer
259,Fertilisant biologique à base d’algues,engrais,415.53,Millilitre,weekly,spring
260,Insecticide à base de abamectine,engrais,654.61,Gramme,daily,summer
261,Semences de brocoli,pesticide,373.95,Millilitre,weekly,spring
262,Insecticide à base de pyréthrines,carburant,884.07,Mètre cube,weekly,winter
263,Réducteur de pression pour irrigation,semences,380.29,Millilitre,daily,fall
264,Kit de goutte à goutte portable,eau,852.63,Hectare,weekly,summer
265,Énergie éolienne pour ferme,eau,377.81,Kilogramme,weekly,summer
266,Système d’irrigation en goutte à goutte,carburant,759.25,Millilitre,monthly,summer
267,Réservoir d'eau enterré,engrais,348.84,Acre,monthly,summer
268,Gazole pour engins de chantier,carburant,591.82,Millilitre,monthly,winter
269,Engrais à base de vinaigre,eau,861.68,Litre,monthly,fall
270,Kit de goutte à goutte portable,engrais,423.64,Gramme,weekly,summer
271,Hydrogène pour stockage d'énergie,eau,533.48,Acre,daily,summer
272,Engrais pour orchidées,eau,249.74,Mètre cube,weekly,fall
273,Semences de sésame,eau,343.64,Litre,weekly,winter
274,Énergie éolienne pour ferme,engrais,358.86,Kilogramme,daily,fall
275,Biocarburant à base de colza,semences,547.84,Millilitre,weekly,summer
276,Remorque agricole,engrais,515.51,Litre,monthly,winter
277,Engrais de couverture pour sols,eau,201.53,Millilitre,monthly,summer
278,Fongicide à base de propiconazole,semences,543.56,Litre,daily,spring
279,Graines de pastèque,eau,767.16,Millilitre,weekly,fall
280,Semences de chou-fleur,eau,682.75,Litre,weekly,summer
281,Engrais phosphoré pour tubercules,carburant,885.03,Mètre cube,weekly,summer
282,Biopesticide à base de saponines,engrais,250.02,Mètre cube,weekly,summer
283,Semences de concombre,engrais,970.42,Kilogramme,daily,fall
284,Engrais pour plantes d'intérieur,engrais,673.08,Litre,daily,spring
285,Insecticide à base de méthomyl,eau,530.54,Millilitre,weekly,fall
286,Compost à base de déchets verts,carburant,339.38,Kilogramme,weekly,fall
287,Semences de melon,pesticide,853.32,Gramme,daily,summer
288,Charrue à verser,semences,307.43,Litre,weekly,summer
289,Gazole pour engins de chantier,pesticide,689.23,Acre,monthly,winter
290,Pesticide à base de thiaméthoxame,engrais,988.81,Litre,monthly,spring
291,Pesticide à base de formaldéhyde,pesticide,689.51,Mètre cube,monthly,spring
292,Engrais bio pour plantes d'intérieur,semences,836.56,Mètre cube,weekly,spring
293,Paillis organique pour jardin,semences,764.22,Acre,weekly,winter
294,Semences de piment,pesticide,251.73,Gramme,monthly,summer
295,,eau,787.53,Gramme,daily,fall
296,,carburant,704,Litre,weekly,winter
297,Énergie solaire pour pompes,pesticide,910.03,Gramme,weekly,summer
298,Semences de maïs hybride,carburant,754.95,Acre,monthly,summer
299,Treuil pour jardinage,semences,276.77,Millilitre,daily,winter
300,Tuyaux d'irrigation en PVC,eau,825.14,Millilitre,weekly,spring
301,Insecticide à base de lambda-cyhalothrine,eau,809.71,Litre,daily,summer
302,Engrais à base de compost de vers,engrais,543.88,Gramme,monthly,spring
303,Semences de brocoli,carburant,556.34,Hectare,monthly,spring
304,Semences d’aubergine,pesticide,511.34,Mètre cube,weekly,spring
305,Système de compostage domestique,pesticide,754.47,Gramme,monthly,summer
306,Système de compostage domestique,semences,486.33,Millilitre,monthly,summer
307,Fongicide à base de fludioxonil,pesticide,321.1,Gramme,daily,winter
308,Herbicide à base de pelargonium,eau,857.26,Litre,monthly,spring
309,Engrais riche en calcium,pesticide,419.73,Kilogramme,monthly,summer
310,Herbicide sélectif pour maïs,eau,354.94,Gramme,weekly,summer
311,Phosphate de calcium granulaire,eau,344.65,Millilitre,monthly,fall
312,,semences,241.81,Gramme,daily,winter
313,,engrais,824.99,Kilogramme,weekly,fall
314,Semences de haricot vert,pesticide,604.77,Kilogramme,daily,winter
315,Pesticide à base de fongus entomopathogène,engrais,516.33,Mètre cube,daily,winter
316,Semences de groseille,eau,911.4,Kilogramme,weekly,fall
317,Pesticide à base d'huile de citronnelle,eau,883.99,Kilogramme,weekly,winter
318,Biocarburant à base de déchets,engrais,527.4,Millilitre,daily,fall
319,Graines de pois chiche,eau,462.38,Kilogramme,monthly,winter
320,Terre noire pour plantation,carburant,454.3,Litre,daily,fall
321,Engrais organique à base de trèfle,engrais,390.43,Kilogramme,monthly,fall
322,Semences de concombre,eau,297.92,Acre,weekly,spring
323,,semences,372.37,Mètre cube,daily,spring
324,Solution nutritive hydroponique,semences,523.92,Mètre cube,monthly,winter
325,Gravier pour drainage,engrais,978.27,Hectare,monthly,winter
326,Graines de pois chiche,semences,933.04,Millilitre,monthly,winter
327,Engrais organique à base de compost,eau,727.57,Gramme,monthly,fall
328,Engrais phosphoré pour tubercules,carburant,391.65,Kilogramme,weekly,spring
329,Engrais pour fruits et légumes,engrais,631.82,Acre,daily,winter
330,,pesticide,948.04,Millilitre,daily,fall
331,,eau,494.25,Litre,weekly,summer
332,Souffleur à feuilles à batterie,carburant,284.53,Mètre cube,monthly,summer
333,Réducteur de pression pour irrigation,pesticide,358.46,Mètre cube,weekly,spring
334,Graines de poivron,carburant,432.89,Mètre cube,daily,spring
335,Remorque agricole,pesticide,247.28,Hectare,weekly,summer
336,,semences,318.24,Kilogramme,monthly,winter
337,Biopesticide à base de neem,engrais,921.63,Acre,monthly,spring
338,Insecticide à base de pyréthrines,semences,421.27,Hectare,daily,spring
339,Filet de protection anti-insectes,pesticide,657.2,Millilitre,daily,winter
340,,semences,243.84,Acre,weekly,winter
341,Semoir automatique de précision,engrais,202.48,Gramme,weekly,winter
342,Engrais à libération rapide,eau,534.57,Litre,monthly,spring
343,Fongicide à base de cuivre,eau,537.09,Gramme,monthly,winter
344,Graines de tomate cerise,carburant,341.62,Acre,weekly,summer
345,Engrais enrichi en oligo-éléments,engrais,296.32,Acre,monthly,summer
346,Engrais pour fruits et légumes,eau,429.58,Acre,weekly,summer
347,Insecticide à base de chlorpyrifos,carburant,253.47,Litre,daily,fall
348,Substrat pour culture hydroponique,eau,756.61,Hectare,weekly,spring
349,Engrais NPK 10-20-20,pesticide,720.48,Gramme,daily,summer
350,Kit de micro-irrigation automatisée,semences,883.54,Kilogramme,monthly,fall
351,Système d’irrigation en goutte à goutte,carburant,212.84,Mètre cube,weekly,winter
352,Graines de cerise,semences,693.56,Millilitre,daily,winter
353,Engrais à base de sulfate de potassium,pesticide,262.02,Gramme,daily,summer
354,Semences de piment,pesticide,763.9,Millilitre,weekly,winter
355,Fongicide à base de benomyl,carburant,248.85,Litre,weekly,winter
356,,carburant,849.1,Mètre cube,daily,spring
357,Herbicide à base d'acide acétique,carburant,983.42,Kilogramme,monthly,fall
358,Kit de goutte à goutte portable,semences,918,Litre,monthly,spring
359,Électricité solaire pour pompe,engrais,966.64,Millilitre,weekly,fall
360,Réducteur de pression pour irrigation,engrais,243.69,Gramme,weekly,summer
361,Énergie éolienne pour ferme,semences,677.79,Litre,monthly,summer
362,,engrais,941.47,Mètre cube,weekly,summer
363,Gazole pour engins de chantier,carburant,555.11,Litre,daily,fall
364,Réservoir d'eau potable,engrais,318.47,Mètre cube,daily,winter
365,Bois de chauffage,semences,323.35,Mètre cube,daily,fall
366,Herbicide à base de pelargonium,eau,704.25,Millilitre,weekly,winter
367,Électricité solaire pour pompe,semences,519.21,Acre,weekly,winter
368,Insecticide à base de lambda-cyhalothrine,semences,645.2,Hectare,monthly,spring
369,Engrais NPK 10-20-20,eau,495,Mètre cube,weekly,summer
370,Engrais phosphoré pour tubercules,eau,609.67,Gramme,weekly,spring
371,Système de compostage domestique,semences,462.63,Mètre cube,monthly,winter
372,Treuil pour jardinage,carburant,978.54,Acre,weekly,winter
373,Moissonneuse-batteuse pour blé,pesticide,443.98,Litre,weekly,spring
374,Engrais à base de lactosérum,engrais,854.38,Litre,daily,summer
375,Engrais à base de fumier de cheval,carburant,877,Hectare,daily,summer
376,Biocarburant à base de colza,pesticide,567.53,Millilitre,weekly,spring
377,Herbicide sélectif pour maïs,pesticide,899.17,Hectare,weekly,fall
378,Engrais à base de lactosérum,carburant,434.11,Millilitre,weekly,winter
379,Cactus comme plante d'intérieur,carburant,625.44,Gramme,weekly,summer
380,,engrais,499.85,Gramme,daily,winter
381,Remorque agricole,eau,684.1,Millilitre,monthly,spring
382,Semoir automatique de précision,engrais,719.98,Mètre cube,daily,summer
383,Réservoir d’eau de pluie 1000L,semences,423.89,Millilitre,monthly,winter
384,Fongicide biologique pour fraisiers,engrais,246.51,Gramme,monthly,fall
385,Système d'irrigation goutte à goutte,semences,540.66,Acre,weekly,spring
386,Charrue à verser,pesticide,533.11,Mètre cube,monthly,summer
387,Propane pour réchaud,semences,224.42,Mètre cube,weekly,winter
388,Graines de pois chiche,semences,789.89,Hectare,daily,fall
389,Engrais riche en calcium,pesticide,235.29,Litre,weekly,fall
390,Faucheuse à barre de coupe,carburant,479.57,Millilitre,daily,spring
391,Équipement de désherbage manuel,eau,518.47,Acre,weekly,spring
392,Système de filtration pour irrigation,eau,461.7,Gramme,weekly,summer
393,Pesticide à base de pyriproxyfène,pesticide,903.31,Hectare,weekly,fall
394,Insecticide à base de spinosad,pesticide,293.23,Hectare,weekly,summer
395,Fongicide biologique pour fraisiers,semences,283.36,Millilitre,weekly,spring
396,Système de filtrage d'eau,pesticide,637.76,Acre,monthly,spring
397,Solution nutritive hydroponique,engrais,558.59,Millilitre,monthly,fall
398,Semences de groseille,eau,586.62,Kilogramme,weekly,fall
399,Engrais à base de fumier de cheval,pesticide,452.84,Hectare,daily,winter
400,Gaz naturel pour tracteurs,eau,806.55,Acre,daily,fall
401,Kit d'irrigation pour potager,eau,581.01,Kilogramme,daily,summer
402,Engrais potassique soluble,eau,883.38,Kilogramme,weekly,spring
403,Engrais liquide à base de poisson,eau,917.74,Kilogramme,monthly,summer
404,Engrais à base de sang séché,eau,803.91,Millilitre,monthly,fall
405,,eau,517.07,Acre,monthly,summer
406,Engrais azoté NPK 20-20-20,semences,889.24,Mètre cube,daily,fall
407,Pesticide à base de formaldéhyde,engrais,953.45,Litre,daily,winter
408,Semoir automatique de précision,eau,611.97,Acre,monthly,fall
409,Filet de protection anti-insectes,pesticide,780.83,Gramme,monthly,summer
410,Réducteur de pression pour irrigation,engrais,775.01,Hectare,monthly,fall
411,Semoir automatique de précision,semences,377.72,Gramme,daily,fall
412,Engrais universel pour toutes cultures,pesticide,232.37,Millilitre,weekly,summer
413,Pesticide à base de bicarbonate de soude,pesticide,795.37,Litre,monthly,fall
414,Insecticide à base de spinosad,engrais,376.13,Millilitre,daily,winter
415,Eau de source pour agriculture,pesticide,996.3,Mètre cube,daily,winter
416,Engrais à base de lactosérum,engrais,225.04,Litre,weekly,summer
417,Bassin de stockage d'eau,pesticide,633.58,Millilitre,monthly,summer
418,Semences de millet,eau,473.66,Millilitre,daily,winter
419,Réducteur de pression pour irrigation,pesticide,453.88,Acre,daily,fall
420,Engrais organique à base de compost,pesticide,676.57,Litre,monthly,winter
421,Système de filtration pour irrigation,eau,549.09,Gramme,weekly,summer
422,Tuyaux d'irrigation en PVC,engrais,748.61,Acre,daily,spring
423,Biogaz pour chauffage,engrais,698.27,Mètre cube,monthly,winter
424,Semences de fenouil,semences,571.58,Acre,daily,winter
425,Semences de groseille,carburant,362.28,Mètre cube,monthly,winter
426,Insecticide à base de abamectine,carburant,317.88,Hectare,daily,fall
427,Insecticide à base de méthomyl,semences,996.78,Mètre cube,daily,fall
428,Engrais pour fleurs annuelles,pesticide,983.55,Gramme,monthly,spring
429,Engrais en granulés,pesticide,557.6,Kilogramme,weekly,summer
430,Faucheuse à barre de coupe,eau,923.3,Millilitre,monthly,summer
431,Engrais naturel à base de farine d’os,pesticide,301.99,Mètre cube,monthly,fall
432,Engrais à base de sulfate de potassium,pesticide,915.32,Millilitre,weekly,fall
433,Système d’irrigation en goutte à goutte,engrais,290.54,Mètre cube,weekly,fall
434,Souffleur à feuilles à batterie,carburant,999.86,Litre,daily,spring
435,,pesticide,988.98,Litre,weekly,winter
436,,pesticide,611.69,Hectare,weekly,spring
437,Fongicide à base de tébuconazole,pesticide,421.23,Kilogramme,daily,spring
438,Engrais organique à base de trèfle,eau,785.71,Litre,weekly,spring
439,Tracteur électrique,pesticide,991.29,Hectare,daily,fall
440,Treuil pour jardinage,pesticide,409.98,Millilitre,daily,fall
441,Semences de millet,eau,627.89,Litre,monthly,winter
442,Bois pour construction de serres,engrais,360.63,Acre,daily,summer
443,Insecticide à base de imidaclopride,pesticide,555.28,Acre,monthly,spring
444,Semences de soja,pesticide,788.79,Kilogramme,daily,winter
445,Semences d’aubergine,pesticide,422.35,Millilitre,daily,spring
446,,pesticide,592.61,Litre,monthly,winter
447,Engrais organique à base de compost,semences,363.63,Kilogramme,daily,spring
448,Graines de menthe,carburant,553.17,Acre,monthly,fall
449,Système de filtrage d'eau,pesticide,587.63,Acre,daily,fall
450,Gaz naturel pour tracteurs,carburant,686.76,Gramme,monthly,summer
451,Système de filtrage d'eau,carburant,379.35,Acre,daily,summer
452,Remorque agricole,carburant,662.86,Gramme,monthly,summer
453,Graines de kiwi,semences,847.1,Kilogramme,monthly,winter
454,Semences de sauge,eau,742.32,Kilogramme,monthly,winter
455,Engrais à base de lactosérum,engrais,754.08,Mètre cube,monthly,winter
456,Biocarburant à base de déchets,eau,394.6,Gramme,monthly,fall
457,Semences d'amande,engrais,610.08,Kilogramme,daily,summer
458,Engrais pour orchidées,carburant,686.02,Litre,monthly,spring
459,Terreau de qualité supérieure,engrais,504.78,Mètre cube,monthly,fall
460,Fongicide biologique pour fraisiers,eau,230.79,Millilitre,daily,summer
461,Paille de blé pour paillage,semences,361.7,Mètre cube,weekly,summer
462,Semences de sauge,carburant,249.56,Litre,daily,fall
463,Engrais naturel à base de farine d’os,eau,876.86,Litre,weekly,spring
464,Gaz de ville pour équipements,carburant,598.22,Acre,weekly,winter
465,Pesticide à base de azadirachtine,semences,594.35,Kilogramme,weekly,summer
466,Filet de protection anti-insectes,eau,730.17,Acre,daily,summer
467,Engrais enrichi en fer,semences,407.44,Litre,weekly,winter
468,Kit de micro-irrigation automatisée,engrais,914.79,Millilitre,monthly,summer
469,Engrais enrichi en oligo-éléments,engrais,940.75,Millilitre,monthly,fall
470,Semences de haricot vert,pesticide,790.3,Gramme,weekly,summer
471,Engrais pour orchidées,engrais,706.04,Mètre cube,weekly,summer
472,Carburant à base d'huile usagée,pesticide,386.74,Kilogramme,monthly,winter
473,Charbon pour chaudière,engrais,418.52,Millilitre,daily,summer
474,Tracteur électrique,pesticide,483.43,Mètre cube,weekly,spring
475,Engrais foliaire au magnésium,engrais,269.01,Mètre cube,monthly,spring
476,Gaz de ville pour équipements,pesticide,442.55,Gramme,monthly,spring
477,Insecticide à base de spinosad,engrais,747.83,Gramme,weekly,winter
478,Graines de betterave sucrière,eau,969.11,Millilitre,weekly,fall
479,Système d'irrigation par aspersion,carburant,484.11,Litre,monthly,spring
480,Semences de fenouil,eau,878.81,Litre,weekly,winter
481,Semences de soja,eau,983.57,Kilogramme,monthly,fall
482,Biocarburant à base de colza,carburant,833.19,Litre,daily,summer
483,Insecticide biologique à base de pyréthre,engrais,856.82,Gramme,weekly,summer
484,Gaz propane pour chauffages,carburant,721.07,Litre,daily,spring
485,Pesticide à base de bicarbonate de soude,pesticide,433.06,Litre,weekly,spring
486,Engrais NPK 10-20-20,pesticide,420.85,Millilitre,daily,winter
487,Semences de sauge,carburant,912.94,Gramme,monthly,winter
488,Semences de blé tendre,eau,229.3,Kilogramme,daily,winter
489,Phosphate de calcium granulaire,engrais,726.01,Mètre cube,daily,fall
490,Insecticide à base de méthomyl,eau,589.04,Gramme,daily,spring
491,Insecticide à base de pyréthrines,pesticide,743.77,Kilogramme,monthly,winter
492,Semences de fenouil,eau,966.82,Litre,monthly,winter
493,Équipement de désherbage manuel,eau,325.48,Mètre cube,weekly,fall
494,Engrais NPK 10-20-20,eau,680.28,Gramme,weekly,winter
495,Tuyaux d'irrigation en PVC,engrais,849.57,Acre,monthly,fall
496,Semences de concombre,engrais,871.75,Litre,weekly,spring
497,Engrais foliaire liquide,engrais,443.4,Acre,weekly,spring
498,Charbon pour chaudière,carburant,558.5,Kilogramme,monthly,fall
499,Engrais à base de cendre de bois,engrais,357.9,Kilogramme,monthly,spring
500,Semences de coriandre,carburant,635.92,Gramme,weekly,spring
501,Insecticide à base de diatomée,carburant,546.57,Millilitre,weekly,fall
502,Charrue à deux socs,carburant,500.7,Mètre cube,monthly,spring
503,Semences de courgette,engrais,284.83,Litre,monthly,fall
504,Engrais granulé à libération contrôlée,semences,780.09,Mètre cube,daily,winter
505,Semences de riz basmati,semences,380.1,Gramme,weekly,fall
506,Engrais à base de sulfate de potassium,semences,370.73,Litre,monthly,summer
507,Pesticide à base d'extraits de plantes,engrais,955.04,Acre,daily,fall
508,Système d’irrigation par aspersion,pesticide,999.57,Millilitre,monthly,fall
509,Pesticide à base de formaldéhyde,semences,989.33,Acre,daily,summer
510,Eau de source pour agriculture,pesticide,991.08,Acre,monthly,winter
511,Engrais à base de compost de vers,eau,288.33,Gramme,weekly,summer
512,Équipement de protection individuelle,pesticide,203.7,Millilitre,monthly,spring
513,Insecticide à base de spinosad,pesticide,619.94,Kilogramme,daily,summer
514,Semences de romarin,pesticide,717.52,Gramme,weekly,summer
515,Engrais organique à base de compost,semences,748.87,Gramme,monthly,spring
516,Substrat pour culture hydroponique,eau,422.86,Acre,daily,summer
517,Système d’irrigation par aspersion,semences,498.82,Gramme,weekly,summer
518,Insecticide biologique à base de pyréthre,carburant,978.94,Litre,weekly,fall
519,Fongicide à base de fludioxonil,carburant,666.15,Litre,monthly,summer
520,Graines de tournesol bio,carburant,997.8,Hectare,weekly,fall
521,Graines de poivron,eau,921.93,Mètre cube,monthly,summer
522,,carburant,229.12,Litre,monthly,spring
523,Semoir automatique de précision,carburant,868.08,Litre,daily,spring
524,Charrue à verser,carburant,841.54,Millilitre,monthly,fall
525,Semences de fenouil,eau,460.25,Acre,weekly,fall
526,Réducteur de pression pour irrigation,pesticide,673,Gramme,monthly,summer
527,Bois pour construction de serres,engrais,773.78,Litre,weekly,fall
528,Engrais phosphoré pour tubercules,engrais,817.15,Litre,weekly,spring
529,Eau de pluie pour cultures,eau,394.31,Gramme,monthly,summer
530,Graines de betterave sucrière,carburant,586.58,Millilitre,weekly,fall
531,Eau de pluie pour cultures,pesticide,843.57,Acre,monthly,winter
532,Fongicide à base de mancozèbe,pesticide,530.57,Millilitre,weekly,fall
533,Fertilisant biologique à base d’algues,semences,335.3,Hectare,monthly,spring
534,Engrais phosphoré pour tubercules,semences,876.34,Millilitre,monthly,spring
535,Tracteur compact polyvalent,carburant,423.89,Gramme,weekly,fall
536,Écorces pour paillis,carburant,315.25,Gramme,daily,summer
537,Ensileuse pour récoltes fourragères,eau,268.25,Kilogramme,weekly,winter
538,Semences de courgette,carburant,755.33,Litre,weekly,summer
539,Fongicide à base de benomyl,eau,543.48,Kilogramme,daily,winter
540,Pétrole pour tracteurs,engrais,330.7,Litre,monthly,spring
541,Engrais azoté NPK 20-20-20,carburant,855.5,Mètre cube,monthly,spring
542,Fongicide à base de mancozèbe,pesticide,620.97,Kilogramme,weekly,winter
543,Engrais pour plantes d'intérieur,engrais,449.14,Mètre cube,monthly,winter
544,Kit d'irrigation pour potager,eau,669.78,Litre,daily,summer
545,Engrais à base de vinaigre,semences,950.49,Mètre cube,daily,winter
546,Semences de sésame,pesticide,464.31,Acre,weekly,fall
547,Souffleur à feuilles à batterie,carburant,448.7,Litre,weekly,summer
548,Système de compostage domestique,semences,453.41,Gramme,monthly,fall
549,Engrais à base de cendre de bois,eau,371.37,Millilitre,daily,spring
550,Moissonneuse-batteuse pour blé,semences,806.8,Millilitre,daily,winter
551,,carburant,853.75,Mètre cube,weekly,fall
552,Engrais phosphoré pour tubercules,semences,296.5,Kilogramme,daily,spring
553,Engrais naturel à base de farine d’os,semences,727.28,Gramme,weekly,fall
554,Engrais foliaire liquide,carburant,559.91,Mètre cube,daily,spring
555,Engrais à base de sang séché,semences,436.14,Millilitre,daily,winter
556,Semences de sésame,pesticide,576.39,Kilogramme,monthly,winter
557,Semences de melon,engrais,638.84,Kilogramme,daily,winter
558,,pesticide,887.17,Litre,daily,spring
559,Carburant à base de biomasse,engrais,873.23,Acre,daily,fall
560,Pesticide à base de baccillus thuringiensis,pesticide,237.47,Millilitre,monthly,summer
561,,pesticide,967.34,Mètre cube,monthly,spring
562,Semences de riz basmati,engrais,325.11,Hectare,weekly,spring
563,,semences,509.27,Mètre cube,daily,fall
564,Graines de pastèque,carburant,445.61,Litre,weekly,fall
565,Engrais à libération lente,engrais,883.83,Acre,monthly,summer
566,Terreau de qualité supérieure,carburant,488.32,Hectare,daily,spring
567,Compost à base de déchets verts,semences,609.48,Litre,weekly,spring
568,Graines de colza,engrais,325.33,Mètre cube,daily,summer
569,Épices pour agriculture bio,eau,240.61,Gramme,weekly,spring
570,Engrais universel pour toutes cultures,semences,349.68,Hectare,weekly,spring
571,Semences de maïs hybride,carburant,461.97,Hectare,weekly,fall
572,Semences de carvi,carburant,851.12,Mètre cube,monthly,spring
573,Réservoir d’eau de pluie 1000L,pesticide,782.03,Millilitre,daily,summer
574,Graines de colza,semences,306.5,Litre,monthly,fall
575,Fongicide à base de benomyl,eau,884.61,Mètre cube,weekly,spring
576,Engrais foliaire au magnésium,eau,537.63,Acre,weekly,winter
577,Semences de courgette,semences,790.89,Kilogramme,daily,spring
578,Insecticide à base de imidaclopride,carburant,750.82,Kilogramme,daily,summer
579,Pesticide à base de baccillus thuringiensis,carburant,467.19,Mètre cube,daily,summer
580,Gaz de ville pour équipements,engrais,423.86,Kilogramme,monthly,spring
581,,carburant,831.35,Litre,monthly,fall
582,,pesticide,249.91,Litre,monthly,winter
583,Semences de coriandre,eau,975.79,Mètre cube,daily,spring
584,Semences de carvi,carburant,619.23,Kilogramme,weekly,fall
585,Graines de menthe,carburant,615.94,Mètre cube,weekly,fall
586,Phosphate de calcium granulaire,carburant,714.69,Gramme,monthly,winter
587,Faucheuse à barre de coupe,carburant,277.69,Mètre cube,monthly,summer
588,Culture d’algues pour compost,carburant,989.41,Kilogramme,weekly,winter
589,Semences de groseille,semences,296.82,Hectare,daily,fall
590,Cactus comme plante d'intérieur,pesticide,579.29,Litre,daily,spring
591,,engrais,725.03,Kilogramme,daily,summer
592,Propane pour réchaud,eau,674.07,Litre,monthly,winter
593,Gravier pour drainage,eau,980.11,Acre,weekly,summer
594,Eau purifiée pour irrigation goutte-à-goutte,pesticide,968.33,Acre,monthly,summer
595,Hydrogène pour stockage d'énergie,engrais,615.62,Mètre cube,daily,summer
596,Charrue à deux socs,carburant,937.29,Millilitre,daily,summer
597,Semences d’aubergine,engrais,700.41,Kilogramme,weekly,summer
598,Engrais à base de lactosérum,pesticide,596.24,Acre,monthly,summer
599,Graines de tournesol bio,semences,212.87,Hectare,daily,summer
600,Désherbant systémique non toxique,semences,572.05,Millilitre,weekly,spring
601,Pesticide à base de linalol,pesticide,431.88,Gramme,weekly,winter
602,Eau de pluie filtrée,semences,951.26,Litre,weekly,fall
603,,eau,654.49,Hectare,weekly,fall
604,Biocarburant à base de colza,pesticide,621.3,Acre,weekly,spring
605,Gravier pour drainage,eau,214.96,Mètre cube,weekly,summer
606,Essence pour tondeuse à gazon,eau,324.36,Litre,weekly,summer
607,Hydrogène pour stockage d'énergie,carburant,880.64,Hectare,monthly,summer
608,Semences de laitue romaine,pesticide,793.41,Kilogramme,daily,fall
609,Semences de millet,pesticide,224.2,Mètre cube,weekly,summer
610,Désherbant systémique non toxique,semences,986.41,Gramme,weekly,spring
611,Ensileuse pour récoltes fourragères,semences,271.29,Hectare,weekly,spring
612,Engrais de couverture pour sols,semences,551.66,Acre,daily,fall
