id,nom_ressource,type_ressource,quantite,unite_mesure,Usage Frequency,Saison,"surface_couvré"
166,Terreau de qualité supérieure,semences,928.66,Mètre cube,daily,spring,215 m²
167,Graines de cerise,semences,672.64,Gramme,,winter,544 m²
168,Engrais liquide à base de poisson,semences,729.49,Mètre cube,monthly,fall,672 m²
169,Graines de betterave sucrière,carburant,291.67,Litre,,winter,801 m²
170,Essence pour tondeuse à gazon,semences,213,Litre,daily,summer,699 m²
171,Insecticide naturel à base de savon,engrais,250.21,Tonnes,,winter,678 m²
172,Semences de laitue romaine,semences,747.95,Millilitre,daily,spring,451 m²
173,Engrais pour pelouse et jardins,semences,612.1,Gramme,monthly,spring,904 m²
174,Engrais à libération rapide,engrais,747.99,Kilogramme,daily,winter,778 m²
175,Pesticide à base d'extraits de plantes,engrais,319.87,Acre,,summer,355 m²
176,Engrais en granulés,eau,480.46,Acre,weekly,winter,319 m²
177,Semences de brocoli,engrais,52.59,Acre,,spring,841 m²
178,Engrais à base de lactosérum,engrais,814.71,Tonnes,weekly,summer,612 m²
179,Semences de brocoli,semences,368.69,Millilitre,weekly,fall,786 m²
180,Équipement de protection individuelle,eau,171.38,Hectare,daily,fall,510 m²
181,Kit de micro-irrigation automatisée,carburant,103.22,Acre,weekly,fall,605 m²
182,Semences de piment,carburant,342.76,Hectare,daily,spring,142 m²
183,Semences de fenouil,semences,472.09,Mètre cube,monthly,spring,938 m²
184,Engrais à libération lente,semences,144.96,Millilitre,weekly,summer,428 m²
185,Matériel de jardinage à main,carburant,519.57,Tonnes,weekly,spring,579 m²
186,Semences de carotte,engrais,938.98,Mètre cube,monthly,summer,355 m²
187,Graines de tournesol bio,eau,716.53,Kilogramme,,fall,538 m²
188,Graines de cerise,semences,780.85,Mètre cube,monthly,spring,475 m²
189,Engrais pour fleurs annuelles,carburant,108.52,Kilogramme,weekly,spring,740 m²
190,Biopesticide à base de neem,semences,14.62,Gramme,daily,spring,355 m²
191,Engrais organique à base de trèfle,carburant,44.3,Hectare,monthly,winter,721 m²
192,Carburant biodiesel,eau,566.59,Mètre cube,monthly,summer,980 m²
193,Cactus comme plante d'intérieur,semences,858.84,Tonnes,,summer,583 m²
194,Paille de blé pour paillage,carburant,527.38,Mètre cube,daily,spring,219 m²
195,Graines de fruits exotiques,carburant,355.47,Hectare,,spring,875 m²
196,Semences de framboise,semences,212.61,Mètre cube,,winter,782 m²
197,Semences de thym,carburant,230.89,Litre,daily,summer,990 m²
198,Semences de coriandre,semences,56.96,Millilitre,monthly,summer,387 m²
199,Graines de poivron,semences,423.1,Tonnes,,summer,145 m²
200,Engrais minéral à base de soufre,engrais,52.69,Tonnes,daily,winter,890 m²
201,Semences de concombre,eau,562.32,Kilogramme,weekly,spring,970 m²
202,Kit de micro-irrigation automatisée,eau,768.18,Millilitre,daily,spring,244 m²
203,Équipement de désherbage manuel,eau,739.19,Litre,monthly,spring,782 m²
204,Fongicide au soufre micronisé,eau,182.65,Tonnes,,summer,295 m²
205,Semoir automatique de précision,eau,780.49,Acre,daily,spring,145 m²
206,Graines de pois chiche,engrais,572.33,Kilogramme,,summer,922 m²
207,Semences de brocoli,carburant,194.34,Litre,monthly,fall,786 m²
208,Engrais à base de sang séché,semences,287.42,Litre,daily,fall,639 m²
209,Système d'irrigation par aspersion,carburant,990.51,Kilogramme,daily,fall,934 m²
210,Système de récolte à la main,eau,502.92,Tonnes,,spring,801 m²
211,Herbicide à base de pelargonium,eau,591.79,Gramme,daily,fall,922 m²
212,Herbicide à base de pelargonium,engrais,892.44,Tonnes,,winter,716 m²
213,Engrais en granulés,eau,12.51,Hectare,daily,spring,295 m²
214,Carburant à base de biomasse,engrais,897.1,Millilitre,monthly,fall,385 m²
215,Compost à base de déchets verts,eau,997.39,Mètre cube,,summer,804 m²
216,Kit de micro-irrigation automatisée,eau,883.07,Hectare,,summer,1000 m²
217,Fongicide à base de cuivre,eau,581.37,Tonnes,monthly,winter,476 m²
218,Gravier pour drainage,engrais,93.18,Acre,,summer,201 m²
219,Culture d’algues pour compost,carburant,216.48,Tonnes,weekly,summer,574 m²
220,Semences de fenouil,eau,37.86,Hectare,,winter,839 m²
221,Filet de protection anti-insectes,eau,815.63,Gramme,,fall,699 m²
222,Engrais organique à base de compost,semences,522.05,Mètre cube,monthly,winter,859 m²
223,Graines de basilic,eau,330.74,Tonnes,weekly,spring,698 m²
224,Énergie éolienne pour ferme,engrais,1.63,Kilogramme,weekly,spring,583 m²
225,Semences de quinoa,carburant,592.29,Millilitre,daily,winter,455 m²
226,Engrais phosphoré pour tubercules,semences,534.76,Gramme,monthly,spring,801 m²
227,Hydrogène pour stockage d'énergie,eau,309.49,Millilitre,weekly,winter,519 m²
228,Pesticide à base d'extraits de plantes,engrais,955.88,Kilogramme,,winter,192 m²
229,Semoir automatique de précision,engrais,485.72,Gramme,monthly,summer,234 m²
230,Tracteur compact polyvalent,eau,180,Gramme,,fall,358 m²
231,Électricité solaire pour pompe,engrais,410.08,Hectare,daily,spring,475 m²
232,Semoir automatique de précision,engrais,945.65,Mètre cube,daily,fall,328 m²
233,Engrais organique à base de trèfle,semences,772.22,Gramme,monthly,winter,194 m²
234,Engrais phosphoré pour tubercules,carburant,73.68,Kilogramme,,summer,201 m²
235,Pesticide à base d'huile de citronnelle,eau,263,Mètre cube,,spring,347 m²
236,Engrais liquide pour légumes,engrais,763.01,Gramme,daily,winter,387 m²
237,Semences de brocoli,engrais,34.11,Gramme,,fall,678 m²
238,Engrais à base de fumier de cheval,semences,875.6,Gramme,,fall,905 m²
239,Engrais pour fruits et légumes,carburant,499.39,Litre,weekly,summer,158 m²
240,Engrais en poudre,carburant,428,Litre,weekly,summer,859 m²
241,Carburant à base d'huile usagée,semences,423.43,Tonnes,monthly,fall,500 m²
242,Pesticide à base de bicarbonate de soude,semences,531.38,Mètre cube,monthly,summer,142 m²
243,Engrais à base de farine de sang,carburant,174.67,Millilitre,monthly,winter,210 m²
244,Semences de riz basmati,engrais,100.63,Gramme,daily,fall,721 m²
245,Engrais pour orchidées,engrais,606.81,Tonnes,,fall,201 m²
246,Engrais bio pour plantes d'intérieur,engrais,18.55,Kilogramme,daily,fall,158 m²
247,Engrais minéral complexe,carburant,993.87,Tonnes,daily,fall,500 m²
248,Graines de tomate cerise,carburant,466.03,Kilogramme,,fall,489 m²
249,Semences de laitue romaine,semences,654.87,Acre,,summer,423 m²
250,Semences de millet,semences,960.57,Litre,monthly,summer,455 m²
251,Graines de kiwi,semences,643.62,Millilitre,weekly,winter,340 m²
252,Graines de betterave sucrière,engrais,223.31,Hectare,,fall,924 m²
253,Réservoir d'eau potable,carburant,102.77,Hectare,,fall,290 m²
254,Outils de jardinage manuels,carburant,841.44,Tonnes,weekly,winter,460 m²
255,Biocarburant à base de colza,semences,720.72,Litre,weekly,fall,643 m²
256,Pompe d’irrigation solaire,eau,954.45,Litre,weekly,fall,926 m²
257,Semences de riz basmati,eau,921.05,Tonnes,,fall,841 m²
258,Pesticide à base de formaldéhyde,semences,415.45,Tonnes,daily,fall,801 m²
259,Semences de quinoa,carburant,341.79,Millilitre,daily,winter,457 m²
260,Bois de chauffage,semences,554.69,Gramme,,winter,269 m²
261,Engrais à base de fumier de cheval,carburant,982.69,Hectare,,spring,922 m²
262,Engrais en granulés,semences,693.67,Hectare,daily,winter,938 m²
263,Graines de poivron,eau,322.78,Tonnes,monthly,fall,219 m²
264,Pesticide à base de bicarbonate de soude,eau,764.41,Kilogramme,monthly,winter,273 m²
265,Kit de micro-irrigation automatisée,engrais,557.89,Kilogramme,monthly,summer,612 m²
266,Tuyaux d'irrigation en PVC,engrais,982.46,Kilogramme,weekly,fall,222 m²
267,Engrais organique à base de compost,engrais,594.6,Hectare,,winter,240 m²
268,Semences de laitue romaine,eau,279.11,Millilitre,daily,summer,678 m²
269,Outils de jardinage manuels,semences,413.86,Gramme,daily,fall,664 m²
270,Graines de kiwi,semences,218.24,Hectare,daily,summer,369 m²
271,Semences de romarin,engrais,3.48,Hectare,daily,summer,328 m²
272,Engrais à base de guano,semences,341.47,Millilitre,daily,fall,406 m²
273,Engrais organique à base de trèfle,eau,379.34,Mètre cube,monthly,summer,897 m²
274,Semences de soja,eau,133.04,Hectare,daily,summer,721 m²
275,Fongicide à base de fludioxonil,engrais,322.86,Litre,weekly,winter,319 m²
276,Semences de groseille,engrais,367.32,Mètre cube,,spring,698 m²
277,Solution nutritive hydroponique,eau,132.63,Gramme,monthly,fall,481 m²
278,Engrais enrichi en fer,semences,339.52,Gramme,,summer,127 m²
279,Engrais pour plantes d'intérieur,carburant,133.65,Gramme,monthly,summer,313 m²
280,Essence pour tondeuse à gazon,eau,383.2,Tonnes,,spring,313 m²
281,Kit d'irrigation pour potager,eau,212.23,Millilitre,,summer,295 m²
282,Semences d'amande,engrais,329.59,Hectare,monthly,winter,210 m²
283,Engrais foliaire au magnésium,eau,921.5,Litre,monthly,fall,938 m²
284,Pulvérisateur électrique 15L,semences,425.17,Kilogramme,,spring,836 m²
285,Système de serre modulable,eau,436.69,Acre,,summer,875 m²
286,Semences de coriandre,semences,330.09,Tonnes,monthly,spring,476 m²
287,Graines de pastèque,engrais,240.82,Tonnes,daily,fall,510 m²
288,Fongicide à base de fludioxonil,eau,134.1,Tonnes,weekly,fall,431 m²
289,Pesticide à base d'huile de citronnelle,engrais,634.38,Acre,monthly,summer,952 m²
290,Fongicide à base de benomyl,semences,883.13,Litre,monthly,spring,578 m²
291,Semences de carvi,eau,247.52,Hectare,monthly,fall,455 m²
292,Semences de carvi,semences,81.46,Mètre cube,daily,fall,678 m²
293,Charbon pour chaudière,semences,970.65,Kilogramme,weekly,winter,614 m²
294,Carburant à base de biomasse,carburant,544.06,Litre,daily,spring,130 m²
295,Pesticide à base de thiaclopride,engrais,182.62,Gramme,daily,winter,328 m²
296,Bassin de stockage d'eau,carburant,196.38,Millilitre,weekly,fall,990 m²
297,Bois pour construction de serres,semences,872.18,Tonnes,daily,fall,475 m²
298,Engrais à base de fumier de cheval,carburant,839.5,Kilogramme,weekly,winter,120 m²
299,Semences de quinoa,eau,896.33,Tonnes,,winter,810 m²
300,Matériel de jardinage à main,semences,770.04,Litre,weekly,spring,619 m²
301,Engrais à libération lente,eau,774.64,Mètre cube,daily,summer,762 m²
302,Gaz propane pour chauffages,engrais,407.91,Acre,daily,spring,578 m²
303,Substrat pour culture hydroponique,semences,192.17,Kilogramme,monthly,winter,210 m²
304,Semoir automatique de précision,engrais,799.81,Millilitre,weekly,fall,318 m²
305,Insecticide à base de chlorpyrifos,eau,520.88,Mètre cube,weekly,winter,954 m²
306,Graines de pois chiche,carburant,628.49,Acre,,winter,782 m²
307,Semences de quinoa,engrais,179.63,Hectare,monthly,spring,410 m²
308,Herbicide à base de metolachlore,eau,337.41,Mètre cube,,fall,532 m²
309,Système de filtrage d'eau,engrais,389.12,Tonnes,monthly,summer,619 m²
310,Système d’irrigation par aspersion,eau,283.83,Millilitre,,summer,699 m²
311,Bassin de stockage d'eau,engrais,251.44,Acre,weekly,fall,678 m²
312,Semences de soja,eau,494.18,Litre,,winter,729 m²
313,Pesticide à base de pyriproxyfène,eau,920.08,Mètre cube,monthly,spring,172 m²
314,Engrais de couverture pour sols,carburant,257.38,Tonnes,,summer,194 m²
315,Engrais pour arbres fruitiers,carburant,614.95,Millilitre,monthly,spring,234 m²
316,Herbicide à base de pelargonium,eau,893.07,Gramme,,spring,422 m²
317,Semences de millet,semences,191.33,Kilogramme,,winter,319 m²
318,Engrais organique à base de trèfle,carburant,361.08,Litre,,fall,839 m²
319,Fongicide à base de mancozèbe,semences,783.64,Litre,,fall,590 m²
320,Eau de pluie filtrée,carburant,661.01,Gramme,weekly,winter,358 m²
321,Pesticide à base de thiaclopride,carburant,805.53,Litre,daily,summer,177 m²
322,Semences d'amande,semences,184.99,Mètre cube,monthly,winter,457 m²
323,Biopesticide à base de saponines,eau,909.81,Millilitre,monthly,summer,926 m²
324,Engrais à base de fumier de cheval,engrais,548.62,Millilitre,daily,fall,590 m²
325,Semences de groseille,engrais,829.75,Mètre cube,,winter,491 m²
326,Engrais pour arbres fruitiers,semences,495.05,Hectare,weekly,spring,210 m²
327,Matériel de jardinage à main,semences,747.19,Kilogramme,daily,spring,574 m²
328,Matériel de jardinage à main,carburant,155.47,Litre,weekly,winter,219 m²
329,Écorces pour paillis,carburant,974.88,Tonnes,,spring,319 m²
330,Herbicide à base de pelargonium,eau,355.44,Acre,,summer,328 m²
331,Pesticide à base de bicarbonate de soude,carburant,954.17,Acre,weekly,fall,519 m²
332,Insecticide biologique à base de pyréthre,carburant,645.57,Gramme,,winter,455 m²
333,Carburant diesel pour machines agricoles,semences,892.25,Kilogramme,weekly,summer,361 m²
334,Pesticide à base de baccillus thuringiensis,carburant,508.14,Acre,weekly,spring,120 m²
335,Fongicide à base de tébuconazole,eau,566.19,Millilitre,,fall,210 m²
336,Engrais organique à base de trèfle,carburant,276.01,Acre,,spring,604 m²
337,Biocarburant à base de colza,semences,711.98,Litre,monthly,winter,577 m²
338,Carburant à base d'huile usagée,semences,624.15,Millilitre,,winter,639 m²
339,Insecticide biologique à base de pyréthre,carburant,534.4,Mètre cube,daily,winter,737 m²
340,Engrais à base de guano,semences,839.77,Millilitre,daily,fall,145 m²
341,Engrais azoté NPK 20-20-20,engrais,875.4,Tonnes,monthly,fall,222 m²
342,Matériel de jardinage à main,semences,234.13,Tonnes,,fall,544 m²
343,Semences de sésame,carburant,243.19,Kilogramme,monthly,winter,766 m²
344,Gaz de ville pour équipements,carburant,471.86,Kilogramme,weekly,summer,199 m²
345,Semences d'amande,carburant,235.28,Tonnes,monthly,winter,460 m²
346,Pesticide à base de baccillus thuringiensis,engrais,495.91,Hectare,,fall,574 m²
347,Cendres de bois comme amendement,carburant,855.19,Tonnes,,winter,201 m²
348,Engrais liquide pour légumes,eau,583.25,Litre,,spring,619 m²
349,Engrais foliaire au magnésium,eau,670.95,Litre,daily,spring,578 m²
350,Semences de courgette,eau,254.79,Gramme,weekly,winter,158 m²
351,Pulvérisateur électrique 15L,eau,521.98,Mètre cube,weekly,spring,232 m²
352,Éthanol à base de maïs,semences,103.79,Mètre cube,weekly,fall,476 m²
353,Engrais à base de sang séché,eau,158.99,Litre,daily,winter,130 m²
354,Ensileuse pour récoltes fourragères,semences,702.71,Tonnes,daily,spring,175 m²
355,Kit d'irrigation pour potager,carburant,605.66,Millilitre,daily,fall,519 m²
356,Pompe d’irrigation solaire,engrais,661.17,Tonnes,weekly,summer,538 m²
357,Engrais liquide à base de poisson,carburant,677.33,Hectare,,fall,215 m²
358,Gaz naturel pour tracteurs,carburant,32.76,Mètre cube,daily,summer,914 m²
359,Insecticide à base de abamectine,carburant,80.51,Hectare,monthly,spring,544 m²
360,Système de compostage domestique,engrais,71.58,Litre,,fall,345 m²
361,Charrue à verser,engrais,37.34,Tonnes,monthly,summer,711 m²
362,Engrais pour fleurs annuelles,carburant,745.4,Gramme,daily,summer,476 m²
363,Charbon pour chaudière,semences,357.74,Acre,weekly,spring,812 m²
364,Engrais à base de sulfate de potassium,eau,451.09,Mètre cube,daily,spring,737 m²
365,Graines de céleri,engrais,489.65,Gramme,daily,fall,766 m²
366,Graines de tournesol bio,engrais,24.57,Tonnes,monthly,winter,319 m²
367,Engrais minéral à base de soufre,semences,259.87,Hectare,monthly,spring,716 m²
368,Insecticide naturel à base de savon,semences,692.26,Hectare,weekly,spring,841 m²
369,Engrais enrichi en oligo-éléments,carburant,860.48,Millilitre,daily,summer,476 m²
370,Engrais naturel à base de farine d’os,engrais,167.72,Hectare,weekly,winter,720 m²
371,Énergie éolienne pour ferme,semences,969.43,Hectare,monthly,fall,804 m²
372,Engrais organique à base de compost,eau,806.44,Kilogramme,weekly,winter,970 m²
373,Gaz propane pour chauffages,carburant,78.32,Acre,monthly,spring,604 m²
374,Graines de tournesol bio,eau,945.54,Millilitre,weekly,summer,422 m²
375,Engrais azoté NPK 20-20-20,carburant,613.49,Hectare,monthly,summer,319 m²
376,Semences de romarin,semences,433.69,Hectare,weekly,spring,886 m²
377,Engrais liquide à base de poisson,carburant,318.98,Hectare,weekly,fall,909 m²
378,Graines de colza,engrais,993.97,Acre,weekly,summer,803 m²
379,Carburant biodiesel,carburant,719.01,Millilitre,,summer,938 m²
380,Matériel de jardinage à main,eau,644.7,Gramme,weekly,fall,870 m²
381,Semences de soja,eau,477.73,Millilitre,weekly,summer,146 m²
382,Fongicide biologique pour fraisiers,semences,474.34,Gramme,daily,spring,388 m²
383,Fongicide à base de captane,carburant,277.25,Mètre cube,,winter,502 m²
384,Kit de goutte à goutte portable,engrais,962.88,Millilitre,monthly,winter,990 m²
385,Hydrogène pour stockage d'énergie,carburant,764.05,Hectare,,fall,136 m²
386,Graines de colza,eau,866.55,Tonnes,,winter,574 m²
387,Fongicide au soufre micronisé,carburant,525.13,Gramme,,fall,406 m²
388,Eau de pluie pour cultures,engrais,306.63,Tonnes,monthly,spring,720 m²
389,Engrais de couverture pour sols,semences,485.01,Tonnes,weekly,fall,693 m²
390,Kit de micro-irrigation automatisée,eau,941.61,Kilogramme,,winter,184 m²
391,Graines de menthe,semences,117.92,Litre,daily,spring,759 m²
392,Kit de micro-irrigation automatisée,carburant,680.6,Acre,weekly,fall,612 m²
393,Semences de millet,carburant,520.66,Acre,daily,spring,395 m²
394,Semences de brocoli,semences,243.96,Millilitre,,fall,286 m²
395,Semences d’aubergine,carburant,169.49,Kilogramme,daily,winter,693 m²
396,Insecticide à base de chlorpyrifos,engrais,370.83,Kilogramme,daily,spring,886 m²
397,Système d’irrigation par aspersion,engrais,8.23,Tonnes,,summer,671 m²
398,Insecticide à base de lambda-cyhalothrine,semences,161.99,Hectare,weekly,spring,374 m²
399,Graines de pois chiche,semences,73.55,Tonnes,daily,spring,100 m²
400,Écorces pour paillis,eau,570.3,Mètre cube,daily,spring,897 m²
401,Graines de betterave sucrière,engrais,652.72,Hectare,monthly,summer,201 m²
402,Semences de brocoli,engrais,121.58,Hectare,,spring,347 m²
403,Semences de thym,semences,856.62,Litre,,summer,199 m²
404,Énergie éolienne pour ferme,carburant,222.17,Hectare,monthly,winter,460 m²
405,Tracteur compact polyvalent,carburant,279.01,Mètre cube,monthly,winter,199 m²
406,Filet de protection anti-insectes,eau,203.64,Mètre cube,daily,fall,111 m²
407,Semences de concombre,eau,696.63,Mètre cube,monthly,winter,120 m²
408,Charbon pour chaudière,semences,958.65,Hectare,,winter,672 m²
409,Pesticide à base de thiaméthoxame,eau,998.16,Kilogramme,,spring,937 m²
410,Paille de blé pour paillage,carburant,351.01,Mètre cube,weekly,summer,145 m²
411,Semences de blé tendre,carburant,891.69,Hectare,monthly,fall,219 m²
412,Fongicide à base de fludioxonil,semences,302.25,Litre,,summer,431 m²
413,Fongicide à base de benomyl,carburant,708.36,Gramme,monthly,fall,358 m²
414,Engrais à base de lactosérum,engrais,927.14,Tonnes,daily,fall,177 m²
415,Engrais organique à base de compost,semences,700.85,Kilogramme,,summer,990 m²
416,Graines de basilic,carburant,930.54,Litre,weekly,summer,766 m²
417,Épices pour agriculture bio,engrais,680.43,Hectare,weekly,spring,952 m²
418,Semences de laitue romaine,engrais,899.93,Millilitre,daily,fall,477 m²
419,Pesticide à base d'huile de citronnelle,engrais,284.77,Tonnes,weekly,fall,215 m²
420,Semences de radis,carburant,100.07,Millilitre,weekly,fall,582 m²
421,Semences de chou-fleur,eau,605.67,Acre,weekly,summer,716 m²
422,Engrais pour fruits et légumes,eau,691,Kilogramme,,fall,870 m²
423,Fongicide à base de mancozèbe,semences,544.43,Gramme,weekly,summer,160 m²
424,Insecticide à base de chlorpyrifos,carburant,582.61,Hectare,monthly,winter,390 m²
425,Engrais minéral complexe,engrais,677.71,Kilogramme,monthly,winter,328 m²
426,Semences de maïs hybride,carburant,267.05,Millilitre,daily,winter,847 m²
427,Carburant biodiesel,engrais,96.79,Tonnes,daily,winter,476 m²
428,Semences de melon,eau,239.89,Millilitre,,spring,683 m²
429,Pesticide à base de thiaméthoxame,eau,181.3,Millilitre,daily,winter,836 m²
430,Cactus comme plante d'intérieur,semences,490.81,Kilogramme,monthly,fall,475 m²
431,Désherbant systémique non toxique,semences,819.27,Millilitre,weekly,winter,508 m²
432,Engrais pour plantes d'intérieur,eau,328.97,Litre,,summer,875 m²
433,Biocarburant à base de déchets,eau,474.15,Tonnes,,spring,683 m²
434,Graines de pastèque,carburant,785.61,Gramme,monthly,fall,319 m²
435,Substrat pour culture hydroponique,carburant,394.05,Millilitre,daily,summer,905 m²
436,Graines de colza,engrais,638.04,Millilitre,monthly,fall,952 m²
437,Compost à base de déchets verts,semences,642.75,Hectare,,fall,544 m²
438,Engrais pour orchidées,semences,402.67,Acre,weekly,summer,451 m²
439,Système de serre modulable,carburant,409.56,Kilogramme,weekly,summer,604 m²
440,Désherbant systémique non toxique,carburant,911.79,Kilogramme,monthly,spring,343 m²
441,Engrais minéral à base de soufre,carburant,893.14,Hectare,daily,winter,269 m²
442,Engrais potassique soluble,semences,545.78,Acre,,winter,580 m²
443,Système d’irrigation en goutte à goutte,eau,296.11,Hectare,weekly,winter,201 m²
444,Graines de pois chiche,semences,758.19,Acre,,winter,905 m²
445,Gaz propane pour chauffages,semences,701.18,Kilogramme,monthly,spring,604 m²
446,Pesticide à base d'extraits de plantes,engrais,900.86,Millilitre,,winter,355 m²
447,Système d’irrigation par aspersion,eau,958.25,Kilogramme,daily,winter,556 m²
448,Engrais en poudre,eau,545.58,Acre,monthly,spring,897 m²
449,Engrais naturel à base de farine d’os,engrais,461.89,Hectare,weekly,summer,120 m²
450,Kit d'irrigation pour potager,semences,541.12,Kilogramme,,summer,678 m²
451,Charrue à deux socs,carburant,1.84,Millilitre,weekly,spring,583 m²
452,Terre noire pour plantation,eau,376.39,Millilitre,,winter,319 m²
453,Engrais phosphoré pour tubercules,engrais,365.64,Litre,daily,summer,146 m²
454,Carburant à base d'huile usagée,carburant,231.08,Tonnes,monthly,summer,431 m²
455,Engrais à base de lactosérum,semences,485.33,Gramme,daily,winter,297 m²
456,Engrais à base de vinaigre,engrais,101.34,Tonnes,daily,summer,501 m²
457,Réducteur de pression pour irrigation,semences,238.44,Acre,daily,spring,627 m²
458,Graines de cerise,eau,621.06,Gramme,monthly,winter,859 m²
459,Semences d’aubergine,semences,451.83,Acre,daily,summer,781 m²
460,Insecticide à base de méthomyl,eau,4.6,Gramme,weekly,winter,683 m²
461,Solution nutritive hydroponique,semences,343.99,Mètre cube,daily,spring,328 m²
462,Engrais azoté NPK 20-20-20,carburant,949.93,Acre,daily,fall,859 m²
